,word,urú,prefix,suffix
3998,scothbhuí,,scoth,í
3999,Rómánsacha,,,acha
4000,fhorálacha,,,acha
4001,néarthocsaineacha,,,eacha
4002,Treisithe,,,ithe
4003,Teagascóirí,,,í
4004,Bhríona,,,na
4005,chisteoir,,,eoir
4006,thurasóireacht,,,eacht
4007,mhinice,,,e
4008,ghineadóir,,,adóir
4009,dramhaíolaítear,,,ítear
4010,Crann,,,ann
4011,ceangailte,,,te
4012,hiniúchaithe,h,in,aithe
4013,fiuchphointe,,,te
4014,éagóracha,,éa,acha
4015,3-chéim,,,im
4016,dánlanna,,dá,anna
4017,Uachtarach,,,ach
4018,Idir-réigiúnach,,,ach
4019,tairbhiúla,t,,a
4020,Beacht,,,eacht
4021,chosáin,,,in
4022,Féin-Fostaíochta,,,ta
4023,fhadseirbhíse,,,se
4024,mionbhusanna,,mion,anna
4025,Athraigh,,,aigh
4026,Reachtúil,,,túil
4027,imthosca,,im,a
4028,únéir,,,éir
4029,brionglóid,,,óid
4030,dearnadh,,dea,adh
4031,Silene,,,ne
4032,neamhfhorghníomhú,,neamh,ú
4033,Tuigbheála,,,a
4034,clipeanna,,,eanna
4035,Cháit,,,áit
4036,gile,,,e
4037,shléibhteacha,,,eacha
4038,inÁoctha,,in,tha
4039,steirilithe,,,ithe
4040,Ceartas,,,tas
4041,thocsaineach,,,each
4042,Sanna,,,anna
4043,Clann,,,lann
4044,mbailte,m,,te
4045,theanta,,,ta
4046,fo-thorthaí,,fo,aí
4047,chéanna,,,anna
4048,ró-chumhacht,,ró,acht
4049,Eirionn,,,nn
4050,Leachtú,,,ú
4051,lódairí,,,í
4052,Sna,,,na
4053,imchuach,,im,ach
4054,toitín,t,,ín
4055,Stáiseanóireacht,,,eacht
4056,Cainníocht,,,íocht
4057,mheáchainte,,,te
4058,smeartha,,,tha
4059,urramaíodh,,ur,íodh
4060,fhondúireachtaí,,,taí
4061,n-asbhaintí,n-,as,tí
4062,déantúsaíochta,,dé,ta
4063,Bronntanas,,,tanas
4064,gconairí,g,,í
4065,brabúsachta,,,ta
4066,chruthú,,,ú
4067,cumhdaítear,,,ítear
4068,leasaithe,,leas,aithe
4069,seapáinis,,,is
4070,bácála,,,a
4071,fhuaimeann,,,eann
4072,dromchla,,,a
4073,salann,,,lann
4074,gceithre,g,,e
4075,Trasnánach,,,ach
4076,Oiliúint,,,úint
4077,tharlódh,,,ódh
4078,Glactar,,,tar
4079,Ghníomhartha,,,tha
4080,ngnáthaois,n,gnáth,is
4081,Forbróidh,,,óidh
4082,ró-tapa,,ró,a
4083,mholfas,,,fas
4084,piarghrúpaí,,,aí
4085,mhórbhorradh,,,radh
4086,n-iarrfar,n-,iar,far
4087,ndeaghaidh,n,dea,aidh
4088,bhacainní,,,í
4089,deiridh,,,idh
4090,neamhfhreagracha,,neamh,acha
4091,hachuinge,h,,e
4092,cosnóidh,,,óidh
4093,freagrúil,,,úil
4094,bhforálfaidh,bh,for,faidh
4095,fho-chuóta,,,ta
4096,Leathnaíonn,,,aíonn
4097,lag-intinne,,lag,ne
4098,comhfhiosach,,comh,ach
4099,bhfeirmeoir,bh,,eoir
4100,Luna,,,na
4101,bua,,,a
4102,gcaillfidís,g,,fidís
4103,dtrádáil,d,,áil
4104,mbeartaítear,m,,ítear
4105,toirtiúil,t,,úil
4106,Tuirc-Úcráin,,,in
4107,Theastas,,,tas
4108,theaglaigh,,,aigh
4109,Cuideachtan,,,an
4110,pháirtnéirí,,,í
4111,chailpeanna,,,eanna
4112,dhein,,,in
4113,Eisiach,,,ach
4114,Breathable,,,e
4115,réalta,,réalt,ta
4116,fionnraí,,,aí
4117,árachais,,,ais
4118,Ard-Rúnaíocht,,,aíocht
4119,tacsaí,t,,aí
4120,áitrithe,,,ithe
4121,gCumann,g,,ann
4122,beathaithe,,beath,aithe
4123,ghnóthach,,,ach
4124,lonnaitheach,,,each
4125,séaracha,,,acha
4126,cheangaltáin,,,in
4127,ndréachtú,n,,ú
4128,Chríochnú,,,ú
4129,bhreithiúnach,,,ach
4130,aerdhíonach,,aer,ach
4131,mbrionglóid,m,,óid
4132,Conarthaí,,,aí
4133,tAonad,t,,ad
4134,grian,,,an
4135,Inseirbhíse,,,se
4136,n-athchruthú,n-,ath,ú
4137,bhuaileann,,,eann
4138,screamhuisce,,,e
4139,pancóga,,pan,ga
4140,déiríochta,,dé,ta
4141,Kaynarca,,,a
4142,toscaireachta,t,,ta
4143,caomhnaitheachta,,,ta
4144,Deighlealaithe,,,aithe
4145,bhunaíonn,,,aíonn
4146,camóg,,,óg
4147,mionleagan,,mion,an
4148,Fhoireann,,,eann
4149,seirbhise,,,se
4150,threisithe,,,ithe
4151,chóiríochta,,,ta
4152,leithne,,,ne
4153,máinliachta,,,ta
4154,ndeireadh,n,,eadh
4155,fhoillseoidh,,,idh
4156,cobhsaíochta,,,ta
4157,cainníochta,,,ta
4158,ndea-chaighdeán,n,dea,eán
4159,Creidmheasaí,,,aí
4160,Margaidh,,,aidh
4161,an-iniompartha,,an,tha
4162,bandaleithead,,ban,ad
4163,leasaitheach,,leas,each
4164,Parlaiminteach,,,each
4165,údaruíonn,,,íonn
4166,seachbhreithiúnach,,,ach
4167,Fúndúireachta,,,ta
4168,ghníomhaireacht,,,eacht
4169,féin-bhraitear,,féin,ear
4170,loingsiú,,,iú
4171,t-aitheantas,t-,aith,tas
4172,báis,,,áis
4173,mainistreach,,,each
4174,Amharclannaíochta,,,ta
4175,hearnaitheoir,h,,eoir
4176,ais-deireadh,,ais,eadh
4177,dhíscaoiltear,,,ear
4178,úsáidfeas,,,eas
4179,Eifeacht,,,eacht
4180,leathanaigh,,leath,aigh
4181,suncáltar,,,tar
4182,ndeachaidh,n,dea,aidh
4183,fíoras,,fíor,as
4184,t-ísliú,t-,,iú
4185,triú,,,iú
4186,comhlachtaí,,comh,taí
4187,Creole,,,e
4188,díghrádaíodh,,dí,íodh
4189,Táible,,,e
4190,frithdhúnadh,,frith,adh
4191,lonrach,,,ach
4192,luaithrigh,,,igh
4193,mbrabhsálaithe,m,,aithe
4194,spártha,,,tha
4195,leath-digiteach,,leath,each
4196,ya,,,a
4197,urruíochta,,ur,ta
4198,naoú,,,ú
4199,chíoradh,,,radh
4200,Traenála,,,a
4201,Uirlisí,,,í
4202,rúnbhallóide,,,e
4203,comhbhrúiteoirí,,comh,í
4204,an-athchúrsáilte,,an,te
4205,ailmentí,,,tí
4206,phríomhthairbhithe,,,ithe
4207,Chuideachtaí,,,taí
4208,Soithí,,,í
4209,trédhearcaí,,tré,aí
4210,mbaintreach,m,bain,each
4211,Ródú,,,ú
4212,Coimisiúin,,,in
4213,Coinbhinsiúin,,,in
4214,locfar,,,far
4215,loitiméireacht,,,eacht
4216,trópaiceach,,,each
4217,shráide,,,e
4218,Chorpoideachas,,,achas
4219,cúrsa,,,sa
4220,aisghaireann,,ais,eann
4221,neamhbheartaithe,,neamh,aithe
4222,Dhoinn,,,inn
4223,inniúla,,in,a
4224,damhain,,,in
4225,spreagtha,,,tha
4226,searraigh,,,aigh
4227,Cíosa,,,sa
4228,eipeasóid,,eipea,óid
4229,gcosúlacht,g,,acht
4230,rannchuidíonn,,,íonn
4231,Chárta,,,ta
4232,coimhlintí,,,tí
4233,cloisteála,,,a
4234,Fionraí,,,aí
4235,phróiseálfaidh,,,faidh
4236,gnáthchóir,,gnáth,óir
4237,n-áitritheoirí,n-,,í
4238,bplandaí,b,,aí
4239,iarmhéideanna,,iar,eanna
4240,Poirceallán,,,án
4241,féinrialaithe,,féin,aithe
4242,Cásdlí,,,í
4243,hathchóirithe,h,ath,ithe
4244,dhífhoirmiú,,,iú
4245,n-abrann,n-,,ann
4246,Sreabháin,,,in
4247,Láithreach,,,each
4248,móipéidí,,,í
4249,gearrann,,gearr,ann
4250,éisiúint,,,úint
4251,ngnáth-chúrsa,n,gnáth,sa
4252,Seas,,,eas
4253,bradaíl,,,aíl
4254,Faoileán,,,eán
4255,mbearta,m,,ta
4256,tampáil,t,,áil
4257,Tábhairne,,,ne
4258,anamacha,,ana,acha
4259,Barraí,,,aí
4260,ghrúdú,,,ú
4261,Áirithigh,,,igh
4262,inghearrtha,,in,tha
4263,Arfa,,,a
4264,leatromach,,,ach
4265,Bhratach,,,ach
4266,bpíobáin,b,,in
4267,gcobhsaíocht,g,,aíocht
4268,Ginéive,,,e
4269,an-ghlórach,,an,ach
4270,braite,,,te
4271,Cheanada,,,da
4272,Rioscaí,,,aí
4273,thráchtáil,,,áil
4274,dhosú,,,ú
4275,chompháirtí,,,tí
4276,fuathchainte,,,te
4277,gní,,,í
4278,críochta,,,ta
4279,ghréine,,,ne
4280,deoraíocht,,,aíocht
4281,ró-sheasamh,,ró,amh
4282,bpiara,b,,ra
4283,Thearmann,,,ann
4284,comhfheidhmiú,,comh,iú
4285,nGlantach,n,,ach
4286,dtagróidh,d,,óidh
4287,fairis,,,is
4288,156ú,,,ú
4289,fo-ionstraim,,fo,aim
4290,oideoirí,,,í
4291,Olea,,,a
4292,ndeimhnítear,n,,ítear
4293,Roinntear,,,ear
4294,bainfimid,,bain,fimid
4295,bhaileoimid,,,imid
4296,chúinge,,,e
4297,réamhphacáil,,réamh,áil
4298,d'Íomhán,d',,án
4299,Acmhainní-Stiúrtha,,,tha
4300,Bainteach,,,each
4301,ghlóthach,,,ach
4302,taisce,t,tais,e
4303,phaitinneacha,,,eacha
4304,Oibreoir,,,eoir
4305,Orgánach,,,ach
4306,díolachán,,dí,achán
4307,chomhfhreagróidh,,,óidh
4308,Bogdan,,,an
4309,tArd-Stiúrthóir,t,,thóir
4310,thrádála,,,a
4311,Dhúiche,,,e
4312,choisctheach,,,each
4313,fháidh,,,idh
4314,Nua,,,a
4315,Muí,,,í
4316,chnáinín,,,ín
4317,cianoideachas,,,achas
4318,mharthanach,,,ach
4319,leathshúilíneach,,leath,each
4320,Bréagacha,,,acha
4321,sainmhínitear,,sain,ear
4322,sosa,,so,sa
4323,sainghníomhaireachtaí,,sain,taí
4324,diúscraíodh,,,íodh
4325,tuathánach,t,,ach
4326,coirce,,,e
4327,leabharchoimeádta,,,ta
4328,Corrfholúntais,,,ais
4329,marófar,,,ófar
4330,fochuideachtaí,,fo,taí
4331,Phríobháideacha,,,eacha
4332,thárlann,,,lann
4333,clocha-brabúsaí,,,aí
4334,airbheartÃ3idh,,,idh
4335,fhuinneoga,,,ga
4336,sreabhach,,,ach
4337,mheabhrán,,,án
4338,Pixie,,,e
4339,thiomna,,,na
4340,Conairí,,,í
4341,Inniúla,,,a
4342,róid,,ró,óid
4343,mb'fhusaide,m,,e
4344,idé-eolaíocht,,,aíocht
4345,d'fhearchéile,d',,e
4346,Anndáin,,,in
4347,chomharsan,,,san
4348,leictreiceimiceach,,leictr,each
4349,dianchaibidlíochtaí,,dia,taí
4350,Thiomána,,,na
4351,ghluaisteán,,,eán
4352,bearnaí,,,aí
4353,mheaisin,,,in
4354,ndualgais,n,,ais
4355,dearaí,,dea,aí
4356,sásÃ3far,,,far
4357,Chonaiceamar,,,eamar
4358,Cluiche,,,e
4359,droch-nós,,droch,ós
4360,Chruinniú,,,iú
4361,imoibríocha,,im,a
4362,críochta-difríocht,,,íocht
4363,theastais,,,ais
4364,cláróidh,,,óidh
4365,ainmníodh,,ain,íodh
4366,Linnte,,,te
4367,Filipina,,,na
4368,dtoircheas,d,,eas
4369,téamúil,t,,úil
4370,maisíonn,,,íonn
4371,Coimiriceacha,,,eacha
4372,bhFeasacht,bh,,acht
4373,seachtar,,seacht,tar
4374,ceartas,,,tas
4375,gcaillfear,g,,fear
4376,loingseofar,,,far
4377,Téarnamh,,,amh
4378,Íde,,,e
4379,Príomhfhostaithe,,,aithe
4380,teachtadh,t,,adh
4381,Idirlín,,,ín
4382,Bricfeasta,,,ta
4383,fhoilseacháin,,,in
4384,gcuardach,g,,ach
4385,innealtóir,,in,tóir
4386,Sinsearach,,,ach
4387,néaróga,,,ga
4388,Christophe,,,e
4389,an-neamhghníomhach,,an,ach
4390,ghrinnfhiosrú,,,ú
4391,aisghabáil,,ais,áil
4392,andraigineach,,andra,gineach
4393,gcábáiste,g,,te
4394,luibheach,,,each
4395,shornaí,,,aí
4396,chumadóir,,,adóir
4397,smacht-fhionraí,,,aí
4398,seasmhach,,,ach
4399,creidiúnaíodh,,,íodh
4400,láithreoireachtaí,,,taí
4401,cóionann,,,ann
4402,t-oibríocht,t-,,íocht
4403,scaoilfidh,,,fidh
4404,Fheirtéaraigh,,,aigh
4405,toghthóirí,t,,í
4406,neamhbhardasaigh,,neamh,aigh
4407,Chomhpháirtíocht,,,íocht
4408,stánadh,,,adh
4409,Fhaisnéis,,,is
4410,fo-rollaí,,fo,aí
4411,ceannach,,ceann,ach
4412,athchleachtach,,ath,ach
4413,Gaireas,,,eas
4414,Comh-chatalóg,,,óg
4415,Cinnfear,,,fear
4416,Dhaonlathach,,,lathach
4417,bréagach,,bréag,ach
4418,saolaítear,,,ítear
4419,crúbóga,,,ga
4420,Acmhainní-Fáil,,,áil
4421,hoiriúnacht,h,oir,acht
4422,sciáil,,,áil
4423,bpolaiméir,b,pola,méir
4424,chothaíonn,,,aíonn
4425,aerspáis,,aer,áis
4426,gceangaltán,g,,án
4427,Régime,,,e
4428,gcósta,g,,ta
4429,Chima,,,a
4430,phacáistíocht,,,íocht
4431,lán-cháilíocht,,,íocht
4432,cháiníocóirí,,,í
4433,dea-oideachas,,dea,achas
4434,Sandy-Kapidere,,,e
4435,gnóthacha,,,acha
4436,eithneacha,,,eacha
4437,íde,,,e
4438,Vótaí,,,taí
4439,ard-sliseanna,,ard,eanna
4440,brúidiúla,,,a
4441,comhaimsire,,comh,ire
4442,Raideolaíocht,,,aíocht
4443,cómhargántaíochta,,,ta
4444,Samhradh,,,radh
4445,oidhreacht,,,eacht
4446,dhíotáil,,,áil
4447,De,,,e
4448,ghríos,,,íos
4449,Ailgéir,,,éir
4450,Euroopan,,,an
4451,Bhúrsa,,,sa
4452,deimhniúchán,,,án
4453,aon-tríthoiseach,,aon,each
4454,réamhsonraíocht,,réamh,aíocht
4455,comhchaibidlí,,comh,í
4456,21ú,,,ú
4457,cothathaigh,,,aigh
4458,mionghearrtha,,mion,tha
4459,ríomhaire,,ríomh,aire
4460,shocraíonn,,,aíonn
4461,chainníochtúil,,,túil
4462,dtrian,d,,an
4463,noibríochtaí,,,taí
4464,taisceora,t,tais,ra
4465,Leanaí,,,aí
4466,n-voltas,,,tas
4467,19ú,,,ú
4468,garnóireachta,,gar,ta
4469,teicniúla,t,teicni,a
4470,saorsála,,,a
4471,scamhóga,,,ga
4472,maighnéad,,,éad
4473,ceannuítear,,ceann,ítear
4474,Athshlánú,,,ú
4475,Féindoirteadh,,,eadh
4476,brabhsálaí,,,aí
4477,Dola,,,a
4478,d'aisgabháil,d',ais,áil
4479,aigéadacht,,,acht
4480,fhaillítear,,,ítear
4481,inseachadtachta,,in,ta
4482,Caithfimid,,,fimid
4483,t-athscrúdú,t-,ath,ú
4484,Gluais,,,ais
4485,spreagthach,,,ach
4486,Mhíleata,,,ta
4487,aersheirbhísí,,aer,í
4488,shlánaithe,,,aithe
4489,amhrasach,,am,ach
4490,forghabháil,,for,áil
4491,cróim,,,im
4492,aoibh,,,ibh
4493,n-athnuachan,n-,ath,chan
4494,forghabhála,,for,a
4495,neamhbhailí,,neamh,í
4496,hathghairmtear,h,ath,ear
4497,clónáilte,,,te
4498,Táirgthí,,,í
4499,20-leathanach,,,ach
4500,grafach,,,ach
4501,foillseofar,,fo,far
4502,Gearrann,,,ann
4503,dTiarna,d,,na
4504,bunchóipeanna,,bun,eanna
4505,hóipiam,h,,iam
4506,teoiriciúil,t,teo,úil
4507,thugas,,,as
4508,Tagtha,,,tha
4509,fhiontar,,,tar
4510,bhroidiúil,,,úil
4511,pholagán,,,agán
4512,gCríostaíthe,g,,the
4513,shofaisticiúla,,,a
4514,réamh-dhréachtbhuiséad,,réamh,éad
4515,dúntaí,,dún,taí
4516,fhéilte,,,te
4517,tseana-choiste,t,,te
4518,thiarna,,,na
4519,Rialáil,,,áil
4520,cimeádfar,,,far
4521,dachas,,,achas
4522,hullmhúcháin,h,,in
4523,pholaireatán,,,án
4524,fho-shirriaim,,,aim
4525,ghluaiseacht,,,eacht
4526,40a,,,a
4527,d'fhónaigh,d',,aigh
4528,monaplacht,,mona,acht
4529,ísealmhinicíochta,,,ta
4530,deilbheán,,,eán
4531,scread,,,ad
4532,uachtaraighe,,,e
4533,paisnéara,,,ra
4534,EU-Russia,,,ia
4535,gcomhfhreagaíonn,g,comh,aíonn
4536,imrím,,im,ím
4537,fáiscthe,,,the
4538,Chartreuse,,,se
4539,feofheirme,,,e
4540,Karelia,,,ia
4541,clód,,,ód
4542,Reáchtálfar,,,far
4543,haistriúchán,h,ais,án
4544,im-bhoscaí,,im,aí
4545,tapúla,t,,a
4546,daingnithe,,,ithe
4547,Fairisínigh,,,igh
4548,gaolmhara,,,ra
4549,micreaflóta,,,ta
4550,mear-scaoileadh,,,eadh
4551,treoirlíne,,,ne
4552,chónraí,,,aí
4553,n-onnmhairiú,n-,,iú
4554,Theorainneacha,,,eacha
4555,tharchuirtear,,,ear
4556,códhlúite,,,te
4557,Sreanga,,,ga
4558,féidearthachtaí,,,taí
4559,deontaisí,,,í
4560,ainmniúil,,ain,úil
4561,áithiú,,,iú
4562,Dhlí-Chumann,,,ann
4563,Fhaigheann,,,eann
4564,hárachuítear,h,,ítear
4565,gciontaíonn,g,,aíonn
4566,IDanna,,,anna
4567,dithe,,,ithe
4568,liachomhairleoir,,,eoir
4569,Fhiachas,,,achas
4570,mbunófaí,m,bun,ófaí
4571,próstatach,,,ach
4572,Euro-Latin,,,in
4573,consighneachta,,,ta
4574,Láithreas,,,eas
4575,neamhghlan,,neamh,an
4576,hInstitiúidí,h,,í
4577,Dhroichead,,,ad
4578,bhfolófaí,bh,fo,ófaí
4579,Chontae-Bhuirge,,,e
4580,hOnnmhuireofar,h,,far
4581,Deirge,,,e
4582,Anamúlacht,,,acht
4583,Neodracht,,,acht
4584,feabhsaithe,,,aithe
4585,saoistí,,,tí
4586,athraítear,,ath,ítear
4587,Clárú,,,ú
4588,seiftithe,,,ithe
4589,ullmhóidh,,,óidh
4590,mótarbhealaí,,,aí
4591,Inniúlachtaí,,,taí
4592,casachtach,,,ach
4593,d'fhorlíonadh,d',,adh
4594,aclaíocht,,,aíocht
4595,roimh-aire,,ro,aire
4596,greanta,,,ta
4597,gcaomhnóirí,g,,í
4598,ghairmí,,,í
4599,Cheannaim,,,aim
4600,Dáiltí,,,tí
4601,n-oifigí,n-,,igí
4602,chinfeas,,,eas
4603,morgáistiú,,,iú
4604,ngeallúint,n,,úint
4605,Ias,,,as
4606,Caine,,,ne
4607,gaile,,,e
4608,Ionstraim,,,aim
4609,an-iompórtála,,an,a
4610,Cloífidh,,,fidh
4611,tseachtain,t,,in
4612,bailíochta,,,ta
4613,Gnóthas,,,as
4614,Gazette,,,te
4615,gineadh,,,eadh
4616,chorrlach,,,ach
4617,Athshóiteáin,,,in
4618,fheistiú,,,iú
4619,bhfíorú,bh,fíor,ú
4620,Teagmhálaí,,,aí
4621,gcaithfí,g,,fí
4622,ceangailteach,,,each
4623,sighneoidh,,,idh
4624,Chrosairí,,,í
4625,scáileán,,,eán
4626,acadh,,,adh
4627,glantromlach,,,ach
4628,rann-íocacha,,,acha
4629,urramaíonn,,ur,aíonn
4630,eadránacha,,,acha
4631,Sealbhaíocht,,,aíocht
4632,Bhreataineach,,,each
4633,teastáil,t,,áil
4634,néifeacht,,,eacht
4635,Taifead,,,fead
4636,Aireachta,,,ta
4637,díghalrú,,dí,ú
4638,staisiúin,,,in
4639,scríbhneoireacht,,,eacht
4640,Caiteachas,,,achas
4641,aisíoctar,,ais,tar
4642,seansloinnte,,sean,te
4643,phictiúrtha,,,tha
4644,stóinseach,,,each
4645,iondaithe,,ion,aithe
4646,baileofar,,,far
4647,gcigire,g,,ire
4648,shroichfidh,,,fidh
4649,barr-shocrú,,barr,ú
4650,Dúchais,,,ais
4651,neamhluaite,,neamh,te
4652,speansais,,,ais
4653,Tráchtála,,,a
4654,Dian-iomardú,,,ú
4655,barúlacha,,bar,acha
4656,driogtha,,,tha
4657,athbheartú,,ath,ú
4658,scálaí,,,aí
4659,Dheimhneach,,,each
4660,Cuidíonn,,,íonn
4661,siogairlín,,,ín
4662,Dréacht-Chinneadh,,,eadh
4663,Bhainistíochta,,,ta
4664,theoir,,,eoir
4665,réamhshainithe,,réamh,ithe
4666,Lean,,,an
4667,thuilleann,,,eann
4668,uisceacha,,,eacha
4669,ceannófar,,ceann,ófar
4670,gcostas,g,,tas
4671,n-eilimintí,n-,,tí
4672,bainfear,,bain,fear
4673,dude,,,e
4674,tsáinn,t,,inn
4675,dioplóma,,,óma
4676,an-teoranta,,an,ta
4677,larbhaí,,,aí
4678,rannacha,,,acha
4679,gcongantóirí,g,,í
4680,maoine,,,ne
4681,Rialachan,,,chan
4682,Aisghairthe,,,the
4683,cheárd-chumainn,,,inn
4684,Maoiniúcháin,,,in
4685,híorónach,h,,ach
4686,ulóga,,,ga
4687,inchomharthaí,,in,aí
4688,rúnaíochta,,,ta
4689,fromhthanna,,,anna
4690,nOlóg,,,óg
4691,eagraithe,,,aithe
4692,Gaora,,,ra
4693,laicearaithe,,,aithe
4694,cúiteofar,,,far
4695,fisiceoir,,,eoir
4696,luigheadófar,,,ófar
4697,cailíní,,,í
4698,íoschritéir,,íos,éir
4699,ceathrúna,,,na
4700,roicéad-armtha,,ro,tha
4701,Féithleann,,,eann
4702,bpróiseálfar,b,,far
4703,doiciméad,,do,éad
4704,comhlimistéir,,comh,éir
4705,Creidmheasa,,,sa
4706,Folamh,,,amh
4707,húinéir,h,,éir
4708,d'éisteacht,d',,eacht
4709,aithriste,,aith,te
4710,comhthionscnamh,,comh,amh
4711,cuirtíní,,,í
4712,Aontaigh,,,aigh
4713,síolú,,,ú
4714,deona,,,na
4715,airleacadh,,,adh
4716,neamh-tocsaineach,,neamh,each
4717,Iarann,,,ann
4718,rabhamar,,,amar
4719,féinmharú,,féin,ú
4720,fhochuideachta,,,ta
4721,tuíodóireacht,t,,eacht
4722,tslánaithe,t,,aithe
4723,scoilbhliain,,,in
4724,Cambogia,,,ia
4725,lobhra,,,ra
4726,banua,,ban,a
4727,calaíochta,,,ta
4728,headarghnóthaí,h,,aí
4729,Prim-leagan,,,an
4730,Líomatáistí,,,tí
4731,dornálaíocht,,do,aíocht
4732,dtaistealaíonn,d,tais,aíonn
4733,céiliúradh,,,radh
4734,Soiléiríonn,,,íonn
4735,analaí,,ana,aí
4736,ragha,,,a
4737,stalla,,,a
4738,fhisciúil,,,úil
4739,chomhadlann,,,lann
4740,áiritheofar,,,far
4741,Barántúlacht,,,acht
4742,Leapa,,,a
4743,Spáinneach,,,each
4744,ionchonspóidthe,,ion,the
4745,Timfhilleadh,,,eadh
4746,tsaoirse,t,,se
4747,hAoichainteoir,h,,eoir
4748,iasachtóir,,,tóir
4749,mhion-fheabhsuithe,,,ithe
4750,Coigilteoirí,,,í
4751,géine,,,ne
4752,brathadóirí,,,í
4753,gcorrán,g,corr,án
4754,mótarbhealach,,,ach
4755,parthas,,,as
4756,rialála,,,a
4757,fáltas,,,tas
4758,hálainn,h,,inn
4759,thástálacha,,,acha
4760,bhfástar,bh,,tar
4761,éifeacht,,,eacht
4762,clódóirí,,,í
4763,Aonáin,,,in
4764,spéartha,,,tha
4765,shannfaidh,,,faidh
4766,Amach,,,ach
4767,líomtáiste,,,te
4768,fháis,,,áis
4769,Aonad,,,ad
4770,Polaitíochta,,,ta
4771,cháilitheachta,,,ta
4772,Ilchraolacháin,,,in
4773,Saponis,,,is
4774,bPríomh-Chláraitheoir,b,,eoir
4775,neachothroma,,,a
4776,dangle,,,e
4777,ghnóthófar,,,ófar
4778,ngéarchéim,n,,im
4779,comhghuaillíochta,,comh,ta
4780,gceardlann,g,,lann
4781,hIonstraime,h,,e
4782,cionúire,,,ire
4783,Bharócach,,,ach
4784,déanfa,,dé,a
4785,astaróideach,,as,óideach
4786,Chéadchéime,,,e
4787,máinliaigh,,,aigh
4788,intriailte,,in,te
4789,Difriúil,,,úil
4790,Deannaigh,,,aigh
4791,Larne,,,ne
4792,diúscróra,,,ra
4793,iascairea,,,a
4794,Fheidhmeannacht,,,acht
4795,leithscaradh,,,radh
4796,só-ghineacht,,,eacht
4797,fionnuisceteaghlach,,,ach
4798,bhfondúireachtaí,bh,fo,taí
4799,gcomhartha,g,comh,tha
4800,óige,,,e
4801,t-ionstraim,t-,ion,aim
4802,conarthach,,,ach
4803,náirítear,,,ítear
4804,mana,,,na
4805,seachfhoinsiú,,,iú
4806,pleanála,,,a
4807,Breathnóir,,,óir
4808,d'oibríocht,d',,íocht
4809,cailciam,,cailc,iam
4810,Grinnfhiosrúchán,,,án
4811,turas,t,,as
4812,phacáistithe,,,ithe
4813,hopaí,h,,aí
4814,dífhoirmiú,,dí,iú
4815,Comhreathach,,,ach
4816,comrádaithe,,,aithe
4817,Liúntaísí,,,í
4818,Ilseirbhísí,,,í
4819,íosluchtú,,íos,ú
4820,Gairmoideachais,,,ais
4821,bhearna,,,na
4822,Íoslainn,,,inn
4823,dianghluaiseacht,,dia,eacht
4824,thuairiscítear,,,ítear
4825,príomh-innealltóir,,príomh,tóir
4826,chothabhála,,,a
4827,gcúlchiste,g,cúl,te
4828,Críochnaíonn,,,aíonn
4829,féin-foirceannadh,,féin,adh
4830,fhrithpháirtigh,,,tigh
4831,airne-chumhraithe,,,aithe
4832,bainistí,,bain,tí
4833,gcaitheamh,g,,amh
4834,Sheinn,,,inn
4835,réiteoirí,,ré,í
4836,Bradáin,,,in
4837,gCáin,g,,in
4838,n-ionsaithe,n-,ion,aithe
4839,Reachtach,,,ach
4840,Athshondais,,,ais
4841,American_Bridge,,,e
4842,Maointe,,,te
4843,eifidrín,,,ín
4844,ísle,,,e
4845,leictrimheicniúla,,leictri,a
4846,mhian,,,an
4847,fhoirceanta,,,ta
4848,Melbourne,,,ne
4849,nóiminiúil,,,úil
4850,bhfostaithe,bh,fo,aithe
4851,cóipeáil,,,áil
4852,comhdhlúite,,comh,te
4853,líomhainte,,,te
4854,fothain,,fo,in
4855,ceannaíochta,,ceann,ta
4856,caithfeadh,,,eadh
4857,tairsí,t,,í
4858,seónna,,,na
4859,cinneadh,,cinn,eadh
4860,dhíolaim,,,aim
4861,mhuicfheola,,,a
4862,Cumhdaigh,,,aigh
4863,meastacháin,,,in
4864,uilechuimsitheach,,uile,each
4865,Ribín,,,ín
4866,gceanglófaí,g,,ófaí
4867,Cailiuchain,,,in
4868,fhadhbanna,,,anna
4869,calórach,,,ach
4870,bhéile,,,e
4871,Spesialta,,,ta
4872,d'fhoirfheidhmiú,d',,iú
4873,radaithe,,rada,aithe
4874,Scrúdaítear,,,ítear
4875,léasaí,,,aí
4876,iargúlta,,iar,ta
4877,nea-láithreacht,,,eacht
4878,líomhaintí,,,tí
4879,lánais,,,ais
4880,samplacha,,,acha
4881,chánachas,,,achas
4882,bPoitigéirí,b,,í
4883,fuirmeacha,,,eacha
4884,cairdeolaí,,,aí
4885,Bealtaine,,,ne
4886,cairdiúlacht,,,acht
4887,bhallpháirtithe,,,ithe
4888,tsealbhaire,t,,aire
4889,déarfar,,dé,far
4890,Sliema,,,a
4891,caomhnúcháin,,,in
4892,lamháladh,,,adh
4893,chorpas,,,as
4894,Tacú,,,ú
4895,haosú,h,,ú
4896,ardráta,,ard,ta
4897,Cúlchiste-Soladach,,,ach
4898,Uibheacha,,,eacha
4899,impróir,,im,óir
4900,chomhnaí,,,aí
4901,Shúilleabháin,,,in
4902,roghain,,ro,in
